provincia_nombre;Token0;Token1;Token2;Token3;Token4;Token5;Token6;Token7;Token8
buenos aires;buenos;aires;;;;;;;
chubut;chubut;;;;;;;;
entre rios;entre;rios;;;;;;;
salta;salta;;;;;;;;
ciudad autonoma de buenos aires;ciudad;autonoma;de;buenos;aires;;;;
catamarca;catamarca;;;;;;;;
cordoba;cordoba;;;;;;;;
corrientes;corrientes;;;;;;;;
chaco;chaco;;;;;;;;
formosa;formosa;;;;;;;;
jujuy;jujuy;;;;;;;;
la pampa;la;pampa;;;;;;;
la rioja;la;rioja;;;;;;;
mendoza;mendoza;;;;;;;;
misiones;misiones;;;;;;;;
neuquen;neuquen;;;;;;;;
rio negro;rio;negro;;;;;;;
san juan;san;juan;;;;;;;
san luis;san;luis;;;;;;;
santa cruz;santa;cruz;;;;;;;
santa fe;santa;fe;;;;;;;
santiago del estero;santiago;del;estero;;;;;;
tucuman;tucuman;;;;;;;;
tierra del fuego antartida e islas del atlantico sur;tierra;del;fuego;antartida;e;islas;del;atlantico;sur
