nombre_limpio;recuento;longitud;stop_w
aaron;9301;5.0;False
abel;28644;4.0;False
abelardo;5303;8.0;False
abigail;35180;7.0;False
abraham;9503;7.0;False
abril;21490;5.0;False
ada;9470;3.0;False
adalberto;6606;9.0;False
adan;9095;4.0;False
adela;16000;5.0;False
adelaida;7460;8.0;False
adelina;10192;7.0;False
adolfo;23478;6.0;False
adrian;35223;6.0;False
adriana;37591;7.0;False
adriel;7355;6.0;False
agostina;19271;8.0;False
agustin;46228;7.0;False
agustina;40322;8.0;False
agustín;6197;7.0;False
aida;16074;4.0;False
ailen;18159;5.0;False
ailin;11653;5.0;False
aixa;7097;4.0;False
alan;20521;4.0;False
alba;14102;4.0;False
alberto;81396;7.0;False
albina;5536;6.0;False
albino;5090;6.0;False
alcides;14717;7.0;False
alcira;11180;6.0;False
aldana;22093;6.0;False
aldo;19291;4.0;False
alejandra;62829;9.0;False
alejandro;77002;9.0;False
alejo;15075;5.0;False
alex;12811;4.0;False
alexander;24217;9.0;False
alexandra;12546;9.0;False
alexia;7557;6.0;False
alexis;32318;6.0;False
alfonso;11624;7.0;False
alfredo;43111;7.0;False
alicia;45548;6.0;False
alma;11945;4.0;False
alvaro;11407;6.0;False
amadeo;7464;6.0;False
amado;7573;5.0;False
amalia;20503;6.0;False
amanda;15576;6.0;False
ambar;5931;5.0;False
amelia;18837;6.0;False
america;5334;7.0;False
americo;10423;7.0;False
amilcar;6906;7.0;False
ana;65118;3.0;False
anabel;16862;6.0;False
anabela;9489;7.0;False
anabella;12422;8.0;False
anahi;27242;5.0;False
analia;26235;6.0;False
andrea;54040;6.0;False
andres;48297;6.0;False
andrés;6940;6.0;False
angel;68935;5.0;False
angela;37824;6.0;False
angeles;38925;7.0;False
angelica;30652;8.0;False
angelina;12619;8.0;False
anibal;26412;6.0;False
anita;5673;5.0;False
anselmo;6588;7.0;False
antonela;15243;8.0;False
antonella;28920;9.0;False
antonia;39738;7.0;False
antonio;85670;7.0;False
araceli;25829;7.0;False
argentina;13393;9.0;False
argentino;9248;9.0;False
ariadna;11160;7.0;False
