Nombre;Token0;Token1;Token2;Token3;Token4;Token5;Token6
caps 20 de mayo;caps;20;de;mayo;;;
caps agua blanca;caps;agua;blanca;;;;
caps aguadita de los peralta;caps;aguadita;de;los;peralta;;
caps aguadita de los valdeses;caps;aguadita;de;los;valdeses;;
caps aguango;caps;aguango;;;;;
caps aguayo;caps;aguayo;;;;;
caps aicuña;caps;aicuña;;;;;
caps alcazar;caps;alcazar;;;;;
caps alpacinche;caps;alpacinche;;;;;
caps alto carrizal;caps;alto;carrizal;;;;
caps alto jague;caps;alto;jague;;;;
caps altos de chilecito;caps;altos;de;chilecito;;;
caps amana;caps;amana;;;;;
caps ambil;caps;ambil;;;;;
caps anguinan i;caps;anguinan;i;;;;
caps angulo;caps;angulo;;;;;
caps anjullon;caps;anjullon;;;;;
caps antinaco;caps;antinaco;;;;;
caps anzulon;caps;anzulon;;;;;
caps arauco;caps;arauco;;;;;
caps atiles;caps;atiles;;;;;
caps bajo carrizal;caps;bajo;carrizal;;;;
caps bajo hondo;caps;bajo;hondo;;;;
caps bajo hondo;caps;bajo;hondo;;;;
caps bajo jague;caps;bajo;jague;;;;
caps bajo verde;caps;bajo;verde;;;;
caps baldes de pacheco;caps;baldes;de;pacheco;;;
caps banda florida - dr. carlos carreño;caps;banda;florida;-;dr.;carlos;carreño
caps barrio angel vicente peñaloza;caps;barrio;angel;vicente;peñaloza;;
caps barrio de galli;caps;barrio;de;galli;;;
caps barrio el parque;caps;barrio;el;parque;;;
caps barrio estacion;caps;barrio;estacion;;;;
caps barrio inmaculada ii;caps;barrio;inmaculada;ii;;;
caps barrio kolping;caps;barrio;kolping;;;;
caps barrio las toscas;caps;barrio;las;toscas;;;
caps barrio mayo;caps;barrio;mayo;;;;
caps barrio talacan;caps;barrio;talacan;;;;
caps bañado de los pantanos;caps;bañado;de;los;pantanos;;
caps bella vista;caps;bella;vista;;;;
caps bella vista;caps;bella;vista;;;;
caps benito montoya;caps;benito;montoya;;;;
caps benjamin rincon;caps;benjamin;rincon;;;;
caps carlos menem junior;caps;carlos;menem;junior;;;
caps carranza;caps;carranza;;;;;
caps carrizal;caps;carrizal;;;;;
caps castro barros;caps;castro;barros;;;;
caps castro y bazan;caps;castro;y;bazan;;;
caps chaupihuasi;caps;chaupihuasi;;;;;
caps chañarmuyo;caps;chañarmuyo;;;;;
caps chila;caps;chila;;;;;
caps chuquis;caps;chuquis;;;;;
caps chuñahuasi;caps;chuñahuasi;;;;;
caps colonia ortiz de ocampo;caps;colonia;ortiz;de;ocampo;;
caps colonias de malligasta;caps;colonias;de;malligasta;;;
caps corral de isaac;caps;corral;de;isaac;;;
caps cortaderas;caps;cortaderas;;;;;
caps cuatro esquinas;caps;cuatro;esquinas;;;;
caps cuipan;caps;cuipan;;;;;
caps distrito pueblo;caps;distrito;pueblo;;;;
caps el abra;caps;el;abra;;;;
caps el balde;caps;el;balde;;;;
caps el barrial;caps;el;barrial;;;;
caps el cantadero;caps;el;cantadero;;;;
caps el cardon;caps;el;cardon;;;;
caps el cebollar;caps;el;cebollar;;;;
caps el divisadero;caps;el;divisadero;;;;
caps el libertador;caps;el;libertador;;;;
caps el mollaco;caps;el;mollaco;;;;
caps el monte;caps;el;monte;;;;
caps el quebracho;caps;el;quebracho;;;;
caps el quemado;caps;el;quemado;;;;
caps el quemado(dupl);caps;el;quemado(dupl);;;;
caps el recreo;caps;el;recreo;;;;
caps el retamo;caps;el;retamo;;;;
caps el rosedal;caps;el;rosedal;;;;
caps el simbolar;caps;el;simbolar;;;;
caps el tala;caps;el;tala;;;;
caps el tala;caps;el;tala;;;;
caps el totoral;caps;el;totoral;;;;
caps el unquillal;caps;el;unquillal;;;;
caps el zapallar;caps;el;zapallar;;;;
caps esquina del norte;caps;esquina;del;norte;;;
caps estacion mazan;caps;estacion;mazan;;;;
caps eva peron;caps;eva;peron;;;;
caps guanchin;caps;guanchin;;;;;
caps independencia;caps;independencia;;;;;
caps islas malvinas;caps;islas;malvinas;;;;
caps jardin residencial;caps;jardin;residencial;;;;
caps jose simone;caps;jose;simone;;;;
caps la  aguadita;caps;la;;aguadita;;;
caps la antigua;caps;la;antigua;;;;
caps la banda;caps;la;banda;;;;
caps la calera;caps;la;calera;;;;
caps la chimenea;caps;la;chimenea;;;;
caps la cienaga;caps;la;cienaga;;;;
caps la cuadra;caps;la;cuadra;;;;
caps la dorada;caps;la;dorada;;;;
caps la huerta;caps;la;huerta;;;;
caps la lata;caps;la;lata;;;;
caps la pampa;caps;la;pampa;;;;
caps la ramadita;caps;la;ramadita;;;;
caps la rotonda;caps;la;rotonda;;;;
caps la torre;caps;la;torre;;;;
caps las aguaditas;caps;las;aguaditas;;;;
caps las catas;caps;las;catas;;;;
caps las cortaderas;caps;las;cortaderas;;;;
caps las cuevas;caps;las;cuevas;;;;
caps las higueras;caps;las;higueras;;;;
caps las jarillas;caps;las;jarillas;;;;
caps las peñas;caps;las;peñas;;;;
caps loma blanca;caps;loma;blanca;;;;
caps loma larga;caps;loma;larga;;;;
caps los aguirres;caps;los;aguirres;;;;
caps los alanices;caps;los;alanices;;;;
caps los algarrobos;caps;los;algarrobos;;;;
caps los barreales;caps;los;barreales;;;;
caps los chelcos;caps;los;chelcos;;;;
caps los colorados;caps;los;colorados;;;;
caps los mistoles;caps;los;mistoles;;;;
caps los molinos;caps;los;molinos;;;;
caps los palacios;caps;los;palacios;;;;
caps los patillos;caps;los;patillos;;;;
caps los potrerillos;caps;los;potrerillos;;;;
