nombre;Token0;Token1;Token2;Token3;Token4
aimogasta;aimogasta;;;;
arauco;arauco;;;;
bañado de los pantanos;bañado;de;los;pantanos;
estacion mazan;estacion;mazan;;;
termas de santa teresita;termas;de;santa;teresita;
villa mazan;villa;mazan;;;
la rioja;la;rioja;;;
aminga;aminga;;;;
anillaco;anillaco;;;;
anjullon;anjullon;;;;
chuquis;chuquis;;;;
los molinos;los;molinos;;;
pinchas;pinchas;;;;
san pedro;san;pedro;;;
santa vera cruz;santa;vera;cruz;;
aicuña;aicuña;;;;
guandacol;guandacol;;;;
los palacios;los;palacios;;;
pagancillo;pagancillo;;;;
villa union;villa;union;;;
chamical;chamical;;;;
polco;polco;;;;
chilecito;chilecito;;;;
colonia anguinan;colonia;anguinan;;;
colonia catinzaco;colonia;catinzaco;;;
colonia malligasta;colonia;malligasta;;;
colonia vichigasta;colonia;vichigasta;;;
guanchin;guanchin;;;;
malligasta;malligasta;;;;
miranda;miranda;;;;
nonogasta;nonogasta;;;;
san nicolas;san;nicolas;;;
santa florentina;santa;florentina;;;
sañogasta;sañogasta;;;;
tilimuqui;tilimuqui;;;;
vichigasta;vichigasta;;;;
alto carrizal;alto;carrizal;;;
angulos;angulos;;;;
antinaco;antinaco;;;;
bajo carrizal;bajo;carrizal;;;
campanas;campanas;;;;
chañarmuyo;chañarmuyo;;;;
famatina;famatina;;;;
la cuadra;la;cuadra;;;
pituil;pituil;;;;
plaza vieja;plaza;vieja;;;
santa cruz;santa;cruz;;;
santo domingo;santo;domingo;;;
punta de los llanos;punta;de;los;llanos;
tama;tama;;;;
castro barros;castro;barros;;;
chañar;chañar;;;;
loma blanca;loma;blanca;;;
olta;olta;;;;
malanzan;malanzan;;;;
nacate;nacate;;;;
portezuelo;portezuelo;;;;
san antonio;san;antonio;;;
villa castelli;villa;castelli;;;
ambil;ambil;;;;
colonia ortiz de ocampo;colonia;ortiz;de;ocampo;
milagro;milagro;;;;
olpas;olpas;;;;
santa rita de catuna;santa;rita;de;catuna;
ulapes;ulapes;;;;
jague;jague;;;;
villa san jose de vinchina;villa;san;jose;de;vinchina
amana;amana;;;;
patquia;patquia;;;;
chepes;chepes;;;;
desiderio tello;desiderio;tello;;;
salicas  san blas;salicas;;san;blas;
villa sanagasta;villa;sanagasta;;;
