nombre;Token0;Token1;Token2;Token3;Token4;Token5;Token6;Token7
afganistan;afganistan;;;;;;;
albania;albania;;;;;;;
alemania;alemania;;;;;;;
andorra;andorra;;;;;;;
angola;angola;;;;;;;
anguila;anguila;;;;;;;
antartida;antartida;;;;;;;
antigua y barbuda;antigua;y;barbuda;;;;;
arabia saudita;arabia;saudita;;;;;;
argelia;argelia;;;;;;;
argentina;argentina;;;;;;;
armenia;armenia;;;;;;;
aruba;aruba;;;;;;;
australia;australia;;;;;;;
austria;austria;;;;;;;
azerbaiyan;azerbaiyan;;;;;;;
belgica;belgica;;;;;;;
bahamas;bahamas;;;;;;;
bahrein;bahrein;;;;;;;
bangladesh;bangladesh;;;;;;;
barbados;barbados;;;;;;;
belice;belice;;;;;;;
benin;benin;;;;;;;
bhutan;bhutan;;;;;;;
bielorrusia;bielorrusia;;;;;;;
birmania;birmania;;;;;;;
bolivia;bolivia;;;;;;;
bosnia y herzegovina;bosnia;y;herzegovina;;;;;
botsuana;botsuana;;;;;;;
brasil;brasil;;;;;;;
brunei;brunei;;;;;;;
bulgaria;bulgaria;;;;;;;
burkina faso;burkina;faso;;;;;;
burundi;burundi;;;;;;;
cabo verde;cabo;verde;;;;;;
camboya;camboya;;;;;;;
camerun;camerun;;;;;;;
canada;canada;;;;;;;
chad;chad;;;;;;;
chile;chile;;;;;;;
china;china;;;;;;;
chipre;chipre;;;;;;;
ciudad del vaticano;ciudad;del;vaticano;;;;;
colombia;colombia;;;;;;;
comoras;comoras;;;;;;;
republica del congo;republica;del;congo;;;;;
republica democratica del congo;republica;democratica;del;congo;;;;
corea del norte;corea;del;norte;;;;;
corea del sur;corea;del;sur;;;;;
costa de marfil;costa;de;marfil;;;;;
costa rica;costa;rica;;;;;;
croacia;croacia;;;;;;;
cuba;cuba;;;;;;;
curazao;curazao;;;;;;;
dinamarca;dinamarca;;;;;;;
dominica;dominica;;;;;;;
ecuador;ecuador;;;;;;;
egipto;egipto;;;;;;;
el salvador;el;salvador;;;;;;
emiratos arabes unidos;emiratos;arabes;unidos;;;;;
eritrea;eritrea;;;;;;;
eslovaquia;eslovaquia;;;;;;;
eslovenia;eslovenia;;;;;;;
españa;españa;;;;;;;
estados unidos de america;estados;unidos;de;america;;;;
estonia;estonia;;;;;;;
etiopia;etiopia;;;;;;;
filipinas;filipinas;;;;;;;
finlandia;finlandia;;;;;;;
fiyi;fiyi;;;;;;;
francia;francia;;;;;;;
gabon;gabon;;;;;;;
gambia;gambia;;;;;;;
georgia;georgia;;;;;;;
ghana;ghana;;;;;;;
gibraltar;gibraltar;;;;;;;
granada;granada;;;;;;;
