categoria;nombre;provincia_nombre;Token0;Token1;Token2;Token3;Token4;Token5;Token6
PJE;pje estudiante;La Rioja;pje;estudiante;;;;;
CALLE;20 de mayo;La Rioja;20;de;mayo;;;;
CALLE;1 de enero;La Rioja;1;de;enero;;;;
CALLE;10 de julio;La Rioja;10;de;julio;;;;
CALLE;aconcagua;La Rioja;aconcagua;;;;;;
CALLE;alfonsina storini;La Rioja;alfonsina;storini;;;;;
CALLE;antartida argentina;La Rioja;antartida;argentina;;;;;
CALLE;atlantico sur;La Rioja;atlantico;sur;;;;;
AV;av benavidez;La Rioja;av;benavidez;;;;;
CALLE;calle publica n 1;La Rioja;calle;publica;n;1;;;
CALLE;calle s n;La Rioja;calle;s;n;;;;
RUTA;ex ruta nac 75;La Rioja;ex;ruta;nac;75;;;
CALLE;raul salas;La Rioja;raul;salas;;;;;
CALLE;severo chumbita;La Rioja;severo;chumbita;;;;;
CALLE;acosta;La Rioja;acosta;;;;;;
CALLE;aimogasta;La Rioja;aimogasta;;;;;;
CALLE;antonio tanquia;La Rioja;antonio;tanquia;;;;;
CALLE;arenales;La Rioja;arenales;;;;;;
CALLE;atenas;La Rioja;atenas;;;;;;
CALLE;cerro ancasti;La Rioja;cerro;ancasti;;;;;
CALLE;comechingones;La Rioja;comechingones;;;;;;
CALLE;cont bolivar;La Rioja;cont;bolivar;;;;;
CALLE;costanera;La Rioja;costanera;;;;;;
CALLE;gdor de la fuente;La Rioja;gdor;de;la;fuente;;;
CALLE;german oliva;La Rioja;german;oliva;;;;;
CALLE;guillermo treolar;La Rioja;guillermo;treolar;;;;;
CALLE;igr mosconi;La Rioja;igr;mosconi;;;;;
CALLE;juan andres velardez;La Rioja;juan;andres;velardez;;;;
CALLE;juan melis;La Rioja;juan;melis;;;;;
CALLE;leandro villafane;La Rioja;leandro;villafane;;;;;
CALLE;libra;La Rioja;libra;;;;;;
CALLE;maria eugenia ruarte;La Rioja;maria;eugenia;ruarte;;;;
CALLE;nuestra sra de la caridad;La Rioja;nuestra;sra;de;la;caridad;;
CALLE;carlos menem jr;La Rioja;carlos;menem;jr;;;;
CALLE;peat 9;La Rioja;peat;9;;;;;
CALLE;cjon 1;La Rioja;cjon;1;;;;;
CALLE;cjon 2;La Rioja;cjon;2;;;;;
CALLE;curupaiti;La Rioja;curupaiti;;;;;;
PJE;pje s n;La Rioja;pje;s;n;;;;
CALLE;de la vega calderon;La Rioja;de;la;vega;calderon;;;
CALLE;dr ricardo leal;La Rioja;dr;ricardo;leal;;;;
CALLE;prof eduardo fuentes;La Rioja;prof;eduardo;fuentes;;;;
CALLE;eva peron;La Rioja;eva;peron;;;;;
CALLE;puerto nuevo;La Rioja;puerto;nuevo;;;;;
CALLE;guayaquil;La Rioja;guayaquil;;;;;;
CALLE;rio de janeiro;La Rioja;rio;de;janeiro;;;;
CALLE;indio bamba;La Rioja;indio;bamba;;;;;
CALLE;roger balet;La Rioja;roger;balet;;;;;
CALLE;jose peralta;La Rioja;jose;peralta;;;;;
CALLE;junin;La Rioja;junin;;;;;;
CALLE;leonidas carreno;La Rioja;leonidas;carreno;;;;;
CALLE;sgt aguilar;La Rioja;sgt;aguilar;;;;;
CALLE;tehuelches;La Rioja;tehuelches;;;;;;
CALLE;olta;La Rioja;olta;;;;;;
CALLE;quilmes;La Rioja;quilmes;;;;;;
CALLE;cacique cabanay;La Rioja;cacique;cabanay;;;;;
CALLE;rio bermejo;La Rioja;rio;bermejo;;;;;
CALLE;rodadera;La Rioja;rodadera;;;;;;
CALLE;san andres;La Rioja;san;andres;;;;;
CALLE;sarandi;La Rioja;sarandi;;;;;;
CALLE;f davila;La Rioja;f;davila;;;;;
CALLE;facundo quiroga;La Rioja;facundo;quiroga;;;;;
CALLE;talcahuano;La Rioja;talcahuano;;;;;;
CALLE;dr roberto yaryura;La Rioja;dr;roberto;yaryura;;;;
CALLE;26 de julio;La Rioja;26;de;julio;;;;
CALLE;san agustin;La Rioja;san;agustin;;;;;
CALLE;san vicente;La Rioja;san;vicente;;;;;
CALLE;25 de mayo;La Rioja;25;de;mayo;;;;
CALLE;8 de diciembre;La Rioja;8;de;diciembre;;;;
CALLE;9 de julio;La Rioja;9;de;julio;;;;
CALLE;9 de octubre;La Rioja;9;de;octubre;;;;
CALLE;alberdi;La Rioja;alberdi;;;;;;
AV;av 24 de mayo;La Rioja;av;24;de;mayo;;;
AV;av castro barros;La Rioja;av;castro;barros;;;;
CALLE;benjamin herrera;La Rioja;benjamin;herrera;;;;;
AV;av san francisco;La Rioja;av;san;francisco;;;;
CALLE;buenos aires;La Rioja;buenos;aires;;;;;
CALLE;calle 10;La Rioja;calle;10;;;;;
CALLE;calle 12;La Rioja;calle;12;;;;;
CALLE;calle 13;La Rioja;calle;13;;;;;
CALLE;calle 14;La Rioja;calle;14;;;;;
